status,message,corp_code,corp_name,corp_name_eng,stock_name,stock_code,ceo_nm,corp_cls,jurir_no,bizr_no,adres,hm_url,ir_url,phn_no,fax_no,induty_code,est_dt,acc_mt
000,정상,00434003,(주)다코,Daco corporation,다코,,김상규,E,1615110021778,3128134722,충청남도 천안시 청당동 419-12,없음,,041-565-1800,041-563-6808,25931,19970611,12
000,정상,00434456,일산약품(주),"ILSAN PHARMACEUTICAL CO.,LTD.",일산약품,,이광선,E,1412110004641,2248105027,강원도 원주시 원동 303,,,033-763-7535,033-763-6433,21101,19910615,12
000,정상,00430964,굿앤엘에스주식회사,"Good & LS Co.,Ltd.",굿앤엘에스,,정진형,E,1101112672875,1048177488,서울특별시 중구 태평로2가 120,,,02-6263-8185,,64999,20021213,11
000,정상,00432403,한라판지(주),"HANLA PARKING CO.,LTD",한라판지,,정우석,E,2201110019993,6168120149,제주특별자치도 북제주군 한림읍 상명리 587,,,064-796-8001,064-796-8003,17123,19970601,12
000,정상,00388953,크레디피아제이십오차유동화전문회사,Credipia 25th Asset Securitization Specialty L.L.C,크레디피아제이십오차유동화전문회사,,배경오,E,1101140036118,107-86-08501,서울특별시 영등포구 여의도동 36-3,,,07-768-7911,784-9869,64999,20011121,10
000,정상,00179984,(주)연방건설산업,youn bao,연방건설산업,,이연우,E,1243110015382,2078128613,서울특별시 광진구 중곡동,해당사항없음,,02)2201-1400,,42,19850101,12
000,정상,00420143,브룩스피알아이 오토메이션 잉크,"BROOKS-PRI Automation, Inc.",브룩스피알아이오토메이션잉크,,Robert J. Therrien,E,,11940,서울특별시 영등포구 여의도동 34-6,,,02-3774-3442,02-3774-3433,2612,20020514,09
000,정상,00401111,(주)매경아이비아이,Maekyung International Business Incubator,매경아이비아이,,김정실,E,1101111858533,2018128046,서울특별시 강남구 역삼동 702-10 아남타워 2009,www.mkibi.com,,02-3454-1530,02-3454-1535,71531,20000120,12
000,정상,00435534,(주)캐드뱅크,CADBANK,캐드뱅크,,임장순,E,1101112170506,1018168113,서울특별시 종로구 숭인2동 280 진선빌딩1층,http://www.cadbank.co.kr,,02-2253-7722,02-2236-5460,5811,20020312,12
000,정상,00430186,엠와이오피삼차유동화전문유한회사,MYOP III Securitization L.L.C.,엠와이오피삼차유동화전문유한회사,,김지홍,E,1101140040937,1048177246,서울특별시 중구 소공동 110 소공동한화빌딩 7층,,,02-3782-2381,02-3782-2389,64999,20021205,12
000,정상,00430201,엠와이오피이차유동화전문유한회사,MYOP II Securitization L.L.C.,엠와이오피이차유동화전문유한회사,,김지홍,E,1101140040929,1048177232,서울특별시 중구 소공동 110 소공동한화빌딩 7층,,,02-3782-2381,02-3782-2389,64999,20021205,12
000,정상,00430210,엠와이오피일차유동화전문유한회사,MYOP I Securitization L.L.C.,엠와이오피일차유동화전문유한회사,,김지홍,E,1101140040911,1048177227,서울특별시 중구 소공동 110 소공동한화빌딩 7층,,,02-3782-2381,02-3782-2389,64999,20021205,12
000,정상,00430229,주식회사포스미디어,"Possmedia.Co.,Ltd",포스미디어,,김재호,E,1101112022484,2208192501,경기도 군포시 금정동 690-4,www.possmedia.com,,031-454-0953,031-454-0963,26,20000710,12
000,정상,00140432,주식회사 축복할렐루야,"Yeun Hung Asia Co., Ltd",축복할렐루야,,김계화,E,1101110060139,1018101107,서울특별시 종로구 장사동 156-1,,,(02)2276-1881,(02)2276-0090,68112,19590829,12
000,정상,00426208,한국전자화학주식회사,,한국전자화학,,이의륭,E,1101111080920,2118604987,서울특별시 강남구 논현1동 영풍빌딩,,,02-519-3671,02-549-8245,20119,19941001,12
000,정상,00433262,Connacht Capital Market Investment Ltd.,Connacht Capital Market Investment Ltd.,ConnachtCapitalMarketInvestmentLtd.,,강병주(LG투자증권),E,,004821,"Labuan, Malaysia",,,02-768-7566,02-768-7567,64999,19960508,12
000,정상,00433749,주식회사선진아이티,"Sunjin IT co.,Ltd.",선진아이티,,박철규,E,1601110125214,3148145040,대전광역시 서구 둔산동1332. 제일빌딩 3층,http://www.e-sjit.com,,042-488-0400,042-471-0046,2642,20010926,12
000,정상,00433785,(주)팀스코리아,TIMS KOREA,팀스코리아,,김원경,E,1101112012302,1078186308,서울특별시 영등포구 여의도동23-7 유화증권빌딩 7층,www.timskorea.co.kr,,02-3770-1713,02-3770-1710,64999,20000702,03
000,정상,00196079,(주)에넥스하이테크,"ENEXHITECH CO.,LTD",에넥스하이테크,,박진규,E,1542110000610,1148140708,서울특별시 서초구 반포동 745,,,02-511-5716,02-512-4431,23324,19890317,12
000,정상,00435048,세이스텝바이스텝혼합형펀드,SEI Step by Step Balanced Fund,세이스텝바이스텝혼합형펀드,,권호진,E,1101112284737,1078602735,서울특별시 영등포구 여의도동 23-7 유화증권빌딩 16층 ,www.abrain.co.kr,,02-3770-4475,02-3770-4087,64201,20010711,07
000,정상,00435057,유리알파헷지채권혼합형펀드,YurieAlphaHedgeBondBalancedFund                   ,유리알파헷지채권혼합형펀드,,김동각,E,1101112423749,1078611350,서울특별시 영등포구 여의도동 유화증권빌딩,www.abrain.co.kr,,02-3770-4097,02-3770-4087,64201,20020116,01
000,정상,00108843,한기술정보통신(주),HanTech,한기술정보통신,,이유로,E,1101110397095,1168111344,서울특별시 영등포구 여의도동 기계공업진흥회 신관 8층,www.htinc.co.kr,,02-369-8732,02-784-6701,62021,19850412,12
000,정상,00443232,주식회사다움종합건설,,다움종합건설,,서길현,E,1101111950876,1148198194,서울특별시 서초구 방배동 811-11,,,02-599-0907,02-599-0830,4111,20000428,12
000,정상,00248293,주식회사 한국애치슨,Acheson Korea Limited.,한국애치슨,,남 인 근,E,1101110518237,214-81-08560,서울특별시 서초구 서초 1305-6,,,3481-3935,3481-1599,2049,19870127,12
000,정상,00455662,고은상사(주),,고은상사,,김진성,E,1101110600050,2088109623,경기도 성남시 분당구 구미동 187-1 체리빌 701,-,,031)717-2266,031)717-9888,4112,19890201,12
000,정상,00149318,(주)조흥종합건설,"Chheung construction co.,ltd",조흥종합건설,,임민석,E,1101110421232,131-81-12153,인천광역시 남구 용현5동 624-57,,,032-887-5500,032-885-4577,4111,19860320,12
000,정상,00451347,(주)유니즈유통,uniz,유니즈유통,,김필종,E,1101112063868,2068129642,서울특별시 강남구 수서동 707∼718 현대수서벤처빌 1128호,http://uniz.co.kr,,02-2040-7420,02-2040-7424,46510,20020904,12
000,정상,00415105,(주)창대화장품,ChangDae Cosmetics,창대화장품,,조민자,E,1101111366271,1048140996,서울특별시 중구 태평로 1가 68,-,,02-739-2160,-,46443,19970117,12
000,정상,00420824,문화종합건설주식회사,"MOONHWA CONSTRUCTION CO., LTD",문화종합건설,,문 은 주,E,1246110238459,1228164297,인천광역시 부평구 부평동 546-47 문 화빌딩,,,032-522-0333,032-513-0333,4112,20001214,12
